"","neighborhood","income_level","year","Fips","num_at_income_level","pct_at_income_level","median_income","rent_level","no_hhs_at_rent_level","pct_hhs_at_rent_level","median_rent","num_hhs_wo_internet","pct_hhs_wo_internet","rent_burden","borough"
"48","Chelsea/Clinton","$20,000 to $74,999",2019,104,1938.0347,0.14669,"120248","$2,000 or more",24224.10088,0.53323,1953,6192.64734,0.09788,0.235,"Manhattan"
"49","Chelsea/Clinton","$20,000 to $74,999",2019,104,1938.0347,0.14669,"120248","$500 to $999",7552.204,0.16624,1953,6192.64734,0.09788,0.235,"Manhattan"
"50","Chelsea/Clinton","$20,000 to $74,999",2019,104,1938.0347,0.14669,"120248","Under $500",4070.00616,0.08959,1953,6192.64734,0.09788,0.235,"Manhattan"
"51","Chelsea/Clinton","$75,000 or more",2019,104,1083.64664,0.02596,"120248","$1,000 to $1,499",5224.29643,0.115,1953,6192.64734,0.09788,0.235,"Manhattan"
"52","Chelsea/Clinton","$75,000 or more",2019,104,1083.64664,0.02596,"120248","$1,500 to $1,999",4358.57873,0.09594,1953,6192.64734,0.09788,0.235,"Manhattan"
"53","Chelsea/Clinton","$75,000 or more",2019,104,1083.64664,0.02596,"120248","$2,000 or more",24224.10088,0.53323,1953,6192.64734,0.09788,0.235,"Manhattan"
"54","Chelsea/Clinton","$75,000 or more",2019,104,1083.64664,0.02596,"120248","$500 to $999",7552.204,0.16624,1953,6192.64734,0.09788,0.235,"Manhattan"
"55","Chelsea/Clinton","$75,000 or more",2019,104,1083.64664,0.02596,"120248","Under $500",4070.00616,0.08959,1953,6192.64734,0.09788,0.235,"Manhattan"
"56","Chelsea/Clinton","Less than $20,000",2019,104,3170.96599,0.38168,"120248","$1,000 to $1,499",5224.29643,0.115,1953,6192.64734,0.09788,0.235,"Manhattan"
"57","Chelsea/Clinton","Less than $20,000",2019,104,3170.96599,0.38168,"120248","$1,500 to $1,999",4358.57873,0.09594,1953,6192.64734,0.09788,0.235,"Manhattan"
"58","Chelsea/Clinton","Less than $20,000",2019,104,3170.96599,0.38168,"120248","$2,000 or more",24224.10088,0.53323,1953,6192.64734,0.09788,0.235,"Manhattan"
"59","Chelsea/Clinton","Less than $20,000",2019,104,3170.96599,0.38168,"120248","$500 to $999",7552.204,0.16624,1953,6192.64734,0.09788,0.235,"Manhattan"
"60","Chelsea/Clinton","Less than $20,000",2019,104,3170.96599,0.38168,"120248","Under $500",4070.00616,0.08959,1953,6192.64734,0.09788,0.235,"Manhattan"
"61","Midtown Business District","$20,000 to $74,999",2019,105,969.9653,0.14669,"120248","$1,000 to $1,499",2614.70357,0.115,1953,3099.35266,0.09788,0.235,"Manhattan"
"62","Midtown Business District","$20,000 to $74,999",2019,105,969.9653,0.14669,"120248","$1,500 to $1,999",2181.42127,0.09594,1953,3099.35266,0.09788,0.235,"Manhattan"
"63","Midtown Business District","$20,000 to $74,999",2019,105,969.9653,0.14669,"120248","$2,000 or more",12123.89912,0.53323,1953,3099.35266,0.09788,0.235,"Manhattan"
"64","Midtown Business District","$20,000 to $74,999",2019,105,969.9653,0.14669,"120248","$500 to $999",3779.796,0.16624,1953,3099.35266,0.09788,0.235,"Manhattan"
"65","Midtown Business District","$20,000 to $74,999",2019,105,969.9653,0.14669,"120248","Under $500",2036.99384,0.08959,1953,3099.35266,0.09788,0.235,"Manhattan"
"66","Midtown Business District","$75,000 or more",2019,105,542.35336,0.02596,"120248","$1,000 to $1,499",2614.70357,0.115,1953,3099.35266,0.09788,0.235,"Manhattan"
"67","Midtown Business District","$75,000 or more",2019,105,542.35336,0.02596,"120248","$1,500 to $1,999",2181.42127,0.09594,1953,3099.35266,0.09788,0.235,"Manhattan"
"68","Midtown Business District","$75,000 or more",2019,105,542.35336,0.02596,"120248","$2,000 or more",12123.89912,0.53323,1953,3099.35266,0.09788,0.235,"Manhattan"
"69","Midtown Business District","$75,000 or more",2019,105,542.35336,0.02596,"120248","$500 to $999",3779.796,0.16624,1953,3099.35266,0.09788,0.235,"Manhattan"
"70","Midtown Business District","$75,000 or more",2019,105,542.35336,0.02596,"120248","Under $500",2036.99384,0.08959,1953,3099.35266,0.09788,0.235,"Manhattan"
"71","Midtown Business District","Less than $20,000",2019,105,1587.03401,0.38168,"120248","$1,000 to $1,499",2614.70357,0.115,1953,3099.35266,0.09788,0.235,"Manhattan"
"72","Midtown Business District","Less than $20,000",2019,105,1587.03401,0.38168,"120248","$1,500 to $1,999",2181.42127,0.09594,1953,3099.35266,0.09788,0.235,"Manhattan"
"73","Midtown Business District","Less than $20,000",2019,105,1587.03401,0.38168,"120248","$2,000 or more",12123.89912,0.53323,1953,3099.35266,0.09788,0.235,"Manhattan"
"74","Midtown Business District","Less than $20,000",2019,105,1587.03401,0.38168,"120248","$500 to $999",3779.796,0.16624,1953,3099.35266,0.09788,0.235,"Manhattan"
"75","Midtown Business District","Less than $20,000",2019,105,1587.03401,0.38168,"120248","Under $500",2036.99384,0.08959,1953,3099.35266,0.09788,0.235,"Manhattan"
"76","Murray Hill/Stuyvesant","$20,000 to $74,999",2019,106,1245,0.11496,"154501","$1,000 to $1,499",5322,0.10185,2712,3249,0.04145,0.224,"Manhattan"
"77","Murray Hill/Stuyvesant","$20,000 to $74,999",2019,106,1245,0.11496,"154501","$1,500 to $1,999",8218,0.15728,2712,3249,0.04145,0.224,"Manhattan"
"78","Murray Hill/Stuyvesant","$20,000 to $74,999",2019,106,1245,0.11496,"154501","$2,000 or more",34602,0.66221,2712,3249,0.04145,0.224,"Manhattan"
